order,anchorId,title,content,style,types
1,alert_file,No file found!,Please select a file to proceed.,danger,error
2,alert_format,Incompatible data file found!,Please follow NanoPHEAT template to organize your data.,danger,error
3,alert_filter,No option selected!,Please select options above.,danger,error
4,alert_subset,No dataset selected!,Please select targeted dataset in the filter page before plot.,danger,error
5,alert_plot,No plot found!,Please plot dataset to proceed.,danger,error
6,alert_fit_method,No fitting method selected!,Please select a fitting method to proceed.,danger,error
7,alert_curve,Invalid parameter!,Please input number only to proceed.,danger,error
8,alert_fitted_initial,Fitting failed!,Please select reasonable values for the initial parameters and try again.,warning,error
9,alert_fitted_converge,Fitting cannot converge!,The chosen formula does not fit the data. Please try another formula.,warning,error
10,alert_predict,No fitted model found!,Please try to fit the data first.,danger,error
11,alert_predict_parameter,Invalid parameter!,Please input reasonable number to proceed.,danger,error
12,alert_predicted,Negative response found!,Your input is out of the prediction range. Prediction may be inaccurate.,warning,error
13,alert_fit_stat,No fitting statistics available!,Please try to fit the data first.,info,note
14,alert_predict_stat,No conclusion available!,Please first provide your parameters and predict the response.,info,note
