order,anchorId,title,content,style
1,alert_file,No file found!,Please select a file to proceed.,danger
2,alert_filter,No option selected!,Please select options above.,danger
3,alert_subset,No dataset selected!,Please select targeted dataset in the filter page before plot.,danger
4,alert_plot,No plot found!,Please plot dataset to proceed.,danger
5,alert_fit_method,No fitting method selected!,Please select a fitting method to proceed.,danger
6,alert_curve,Invalid parameter!,Please input number only to proceed.,danger
7,alert_fitted_initial,Fitting failed!,Please select reasonable values for the initial parameters and try again.,warning
8,alert_fitted_converge,Fitting cannot converge!,The chosen formula does not fit the data. Please try another formula.,warning
9,alert_predict,No fitted model found!,Please try to fit the data first.,danger
10,alert_predict_parameter,Invalid parameter!,Please input reasonable number to proceed.,danger
11,alert_predicted,Negative response found!,Your input is out of the prediction range. Prediction may be inaccurate.,warning
