Source,Record,Group,Matrix,Nanomaterial,Dose,Units,Organism,Endpoint,Response,Direction
CEINT,1,1,Dispersive,NanoSilver,0,mg/L,Triticum aestivum,Shoot Length,0,Less
CEINT,2,1,Dispersive,NanoSilver,0.5,mg/L,Triticum aestivum,Shoot Length,0.323679,Less
CEINT,3,1,Dispersive,NanoSilver,1.5,mg/L,Triticum aestivum,Shoot Length,0.412916,Less
CEINT,4,1,Dispersive,NanoSilver,2.5,mg/L,Triticum aestivum,Shoot Length,0.448141,Less
CEINT,5,1,Dispersive,NanoSilver,3.5,mg/L,Triticum aestivum,Shoot Length,0.574951,Less
CEINT,6,1,Dispersive,NanoSilver,5,mg/L,Triticum aestivum,Shoot Length,0.626614,Less
CEINT,7,2,Dispersive,NanoSilver,0,mg/L,Triticum aestivum,Root Length,0,Less
CEINT,8,2,Dispersive,NanoSilver,0.5,mg/L,Triticum aestivum,Root Length,0.02544,Less
CEINT,9,2,Dispersive,NanoSilver,1.5,mg/L,Triticum aestivum,Root Length,0.253229,Less
CEINT,10,2,Dispersive,NanoSilver,2.5,mg/L,Triticum aestivum,Root Length,0.69002,Less
CEINT,11,2,Dispersive,NanoSilver,3.5,mg/L,Triticum aestivum,Root Length,0.720548,Less
CEINT,12,2,Dispersive,NanoSilver,5,mg/L,Triticum aestivum,Root Length,0.849706,Less
CEINT,13,3,Dispersive,NanoSilver,0,mg/L,Allium cepa,O2- Generation In Root Tissue,0,More
CEINT,14,3,Dispersive,NanoSilver,5,mg/L,Allium cepa,O2- Generation In Root Tissue,0.459995,More
CEINT,15,3,Dispersive,NanoSilver,10,mg/L,Allium cepa,O2- Generation In Root Tissue,0.859998,More
CEINT,16,3,Dispersive,NanoSilver,20,mg/L,Allium cepa,O2- Generation In Root Tissue,1.099995,More
CEINT,17,3,Dispersive,NanoSilver,40,mg/L,Allium cepa,O2- Generation In Root Tissue,1.639995,More
CEINT,18,3,Dispersive,NanoSilver,80,mg/L,Allium cepa,O2- Generation In Root Tissue,1.539996,More
CEINT,19,4,Dispersive,NanoSilver,0,mg/L,Allium cepa,H2o2 Generation In Root Tissue,0,More
CEINT,20,4,Dispersive,NanoSilver,5,mg/L,Allium cepa,H2o2 Generation In Root Tissue,0.169811,More
CEINT,21,4,Dispersive,NanoSilver,10,mg/L,Allium cepa,H2o2 Generation In Root Tissue,0.679252,More
CEINT,22,4,Dispersive,NanoSilver,20,mg/L,Allium cepa,H2o2 Generation In Root Tissue,1.11321,More
CEINT,23,4,Dispersive,NanoSilver,40,mg/L,Allium cepa,H2o2 Generation In Root Tissue,1.679252,More
CEINT,24,4,Dispersive,NanoSilver,80,mg/L,Allium cepa,H2o2 Generation In Root Tissue,2.11321,More
CEINT,25,5,Dispersive,NanoSilver,0,mg/L,Daphnia magna,Mortality,0,More
CEINT,26,5,Dispersive,NanoSilver,0.01,mg/L,Daphnia magna,Mortality,0.0667,More
CEINT,27,5,Dispersive,NanoSilver,0.1,mg/L,Daphnia magna,Mortality,0.5667,More
CEINT,28,5,Dispersive,NanoSilver,1,mg/L,Daphnia magna,Mortality,1,More
CEINT,29,5,Dispersive,NanoSilver,10,mg/L,Daphnia magna,Mortality,1,More
CEINT,30,6,Dispersive,NanoSilver,0,mg/L,Daphnia magna,Cumulative Moulting,0,Less
CEINT,31,6,Dispersive,NanoSilver,0.01,mg/L,Daphnia magna,Cumulative Moulting,0.032966,Less
CEINT,32,6,Dispersive,NanoSilver,0.1,mg/L,Daphnia magna,Cumulative Moulting,0.219777,Less
CEINT,33,6,Dispersive,NanoSilver,1,mg/L,Daphnia magna,Cumulative Moulting,1,Less
CEINT,34,6,Dispersive,NanoSilver,10,mg/L,Daphnia magna,Cumulative Moulting,1,Less
CEINT,35,7,Dispersive,NanoSilver,0,mg/L,Daphnia magna,Mortality,0,More
CEINT,36,7,Dispersive,NanoSilver,0.001,mg/L,Daphnia magna,Mortality,0.3,More
CEINT,37,7,Dispersive,NanoSilver,0.005,mg/L,Daphnia magna,Mortality,0,More
CEINT,38,7,Dispersive,NanoSilver,0.01,mg/L,Daphnia magna,Mortality,0.1,More
CEINT,39,7,Dispersive,NanoSilver,0.05,mg/L,Daphnia magna,Mortality,0.2,More
CEINT,40,8,Dispersive,NanoSilver,0,mg/L,Daphnia magna,Cumulative Moulting,0,Less
CEINT,41,8,Dispersive,NanoSilver,0.001,mg/L,Daphnia magna,Cumulative Moulting,0.128441,Less
CEINT,42,8,Dispersive,NanoSilver,0.005,mg/L,Daphnia magna,Cumulative Moulting,0,Less
CEINT,43,8,Dispersive,NanoSilver,0.01,mg/L,Daphnia magna,Cumulative Moulting,0.027523,Less
CEINT,44,8,Dispersive,NanoSilver,0.05,mg/L,Daphnia magna,Cumulative Moulting,0.091743,Less
CEINT,45,9,Dispersive,NanoSilver,0,mg/L,Daphnia magna,Body Length,0,Less
CEINT,46,9,Dispersive,NanoSilver,0.001,mg/L,Daphnia magna,Body Length,0.085715,Less
CEINT,47,9,Dispersive,NanoSilver,0.005,mg/L,Daphnia magna,Body Length,0.009523,Less
CEINT,48,9,Dispersive,NanoSilver,0.01,mg/L,Daphnia magna,Body Length,0.009523,Less
CEINT,49,9,Dispersive,NanoSilver,0.05,mg/L,Daphnia magna,Body Length,0.019049,Less
CEINT,57,11,Dispersive,NanoSilver,0,mg/L,Daphnia magna,Weight,0,Less
CEINT,58,11,Dispersive,NanoSilver,0.0005,mg/L,Daphnia magna,Weight,0.112957,Less
CEINT,59,11,Dispersive,NanoSilver,0.001,mg/L,Daphnia magna,Weight,0.0299,Less
CEINT,60,11,Dispersive,NanoSilver,0.0015,mg/L,Daphnia magna,Weight,0.056478,Less
CEINT,61,12,Dispersive,NanoSilver,0,mg/L,Daphnia magna,Reproduction,0,Less
