Record,Group,Matrix,Nanomaterial,Dose,Units,Organism,Endpoint,Response,Direction,Link
1,1,Dispersive,NanoSilver,0,mg/L,Triticum aestivum,Shoot Length,0,Less,http://dx.doi.org/10.1021/es302973y
2,1,Dispersive,NanoSilver,0.5,mg/L,Triticum aestivum,Shoot Length,0.323679,Less,http://dx.doi.org/10.1021/es302973y
3,1,Dispersive,NanoSilver,1.5,mg/L,Triticum aestivum,Shoot Length,0.412916,Less,http://dx.doi.org/10.1021/es302973y
4,1,Dispersive,NanoSilver,2.5,mg/L,Triticum aestivum,Shoot Length,0.448141,Less,http://dx.doi.org/10.1021/es302973y
5,1,Dispersive,NanoSilver,3.5,mg/L,Triticum aestivum,Shoot Length,0.574951,Less,http://dx.doi.org/10.1021/es302973y
6,1,Dispersive,NanoSilver,5,mg/L,Triticum aestivum,Shoot Length,0.626614,Less,http://dx.doi.org/10.1021/es302973y
7,2,Dispersive,NanoSilver,0,mg/L,Triticum aestivum,Root Length,0,Less,http://dx.doi.org/10.1021/es302973y
8,2,Dispersive,NanoSilver,0.5,mg/L,Triticum aestivum,Root Length,0.02544,Less,http://dx.doi.org/10.1021/es302973y
9,2,Dispersive,NanoSilver,1.5,mg/L,Triticum aestivum,Root Length,0.253229,Less,http://dx.doi.org/10.1021/es302973y
10,2,Dispersive,NanoSilver,2.5,mg/L,Triticum aestivum,Root Length,0.69002,Less,http://dx.doi.org/10.1021/es302973y
11,2,Dispersive,NanoSilver,3.5,mg/L,Triticum aestivum,Root Length,0.720548,Less,http://dx.doi.org/10.1021/es302973y
12,2,Dispersive,NanoSilver,5,mg/L,Triticum aestivum,Root Length,0.849706,Less,http://dx.doi.org/10.1021/es302973y
